Integration Evaluation: -1.458689297988207	 Time: 190.83497551282247	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 46000  
Integration Evaluation: -1.478376325107725	 Time: 193.4905006011327	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 46000  
Integration Evaluation: -1.4778349659386063	 Time: 194.66639513572056	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 46000  
Integration Evaluation: -1.4613559673065883	 Time: 198.80107977787654	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 48000  
Integration Evaluation: -1.4781645720619843	 Time: 201.23779021104176	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 48000  
Integration Evaluation: -1.4804203652025982	 Time: 201.573014207681	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 48000  
Integration Evaluation: -1.4556175758228769	 Time: 205.95992630322775	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 50000  
Integration Evaluation: -1.475777387232094	 Time: 209.80871481498082	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 50000  
Integration Evaluation: -1.4762577728950097	 Time: 210.50006020466486	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 50000  
Integration Evaluation: -1.4564931162183434	 Time: 214.37389907836913	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 52000  
Integration Evaluation: -1.4750493691326785	 Time: 217.42871834834418	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 52000  
