Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13888166348139444
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13794966538747153
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13791051705678303
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.1380574345588684
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13785170316696166
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13772458235422771
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13782408634821575
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.1378898024559021
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.27038702567418416
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19634573856989543
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19633576075236003
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19625521898269654
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19629373947779338
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19637651443481446
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.1964273452758789
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 300 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.19742053349812824
Error percent: 0.13037456194598793	Epsilon:1/1000	Domain Size: 100 	Integration Evaluation: -4.560415898508232	 Time: 1.1929208517074585
Error percent: 0.13037456194598793	Epsilon:1/1000	Domain Size: 100 	Integration Evaluation: -4.560415898508232	 Time: 1.166884704430898
Error percent: 0.20945081682427472	Epsilon:1/100	Domain Size: 100 	Integration Evaluation: -4.14573091557075	 Time: 1.0800548354784647
Error percent: 0.5117516801348562	Epsilon:1/100	Domain Size: 100 	Integration Evaluation: -2.560430390945671	 Time: 4.345688573519388
Error percent: 0.5121078516660309	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -2.55856258643779	 Time: 4.021439655621847
Error percent: 0.04645978403140749	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -5.487755563964904	 Time: 2.3201934893925986
Error percent: 0.04990310388685176	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: -5.505812729642527	 Time: 2.3595706979433695
Error percent: 0.04990310388685176	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: -5.505812729642527	 Time: 2.4012582778930662
Error percent: 0.04632592797786744	Epsilon:1/10000	Domain Size: 200 	Integration Evaluation: -5.487053607412159	 Time: 3.5569644967714944
Error percent: 0.04632592797786744	Epsilon:1/10000	Domain Size: 1000 	Integration Evaluation: -5.487053607412159	 Time: 14.087914681434631
Error percent: 0.01578693339437698	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -5.161326612652574	 Time: 0.22044063806533815
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.765179816881816
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.778566364447276
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.7861870845158894
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.7638017932573953
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.762943780422211
Error percent: 0.05139251465802403	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -5.51362337117052	 Time: 2.7640213211377462
Error percent: 0.611767779696791	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.452295765037215	 Time: 3.311202172438304
Error percent: 0.611767779696791	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.452295765037215	 Time: 3.2774736126263937
Error percent: 0.611767779696791	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.452295765037215	 Time: 3.265424648920695
Error percent: 0.611767779696791	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.452295765037215	 Time: 3.2709399541219075
Error percent: 0.5690505142533356	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.228281507927788	 Time: 1.664013719558716
Error percent: 0.5690505142533356	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -8.228281507927788	 Time: 1.5779704531033834
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7683496594429016
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7313639005025228
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7067020376523336
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7080508708953857
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7078554153442382
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.729911951224009
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7130841175715128
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7110289295514425
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7445761561393738
Error percent: 30.123237389536964	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: 152.7256092053562	 Time: 1.7491484920183817
Error percent: 0.006033159972435334	Epsilon:1/1000	Domain Size: 100 	Integration Evaluation: -5.212476523220285	 Time: 1.7589945634206137
